# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
كرايسلر,"3,989",3.76,13.51%,19.74%,00:06:14,5.53
saab,"3,959",3.61,16.82%,17.82%,00:07:09,6.11
غير مجمركه,"3,955",7.28,30.80%,6.17%,00:09:38,7.30
تقسيط,"3,947",5.66,18.80%,8.99%,00:10:16,9.16
htc one,"3,930",3.73,20.92%,13.63%,00:07:16,5.78
gmc,"3,928",4.79,16.32%,15.03%,00:06:56,5.77
نوبيرا,"3,916",4.80,14.66%,14.31%,00:07:52,7.47
قطط,"3,915",3.69,15.56%,17.86%,00:05:42,5.62
اثاث,"3,913",8.63,22.51%,5.99%,00:09:28,9.50
مطعم,"3,908",5.39,18.12%,11.85%,00:08:26,7.43
لبوة,"3,905",5.74,17.31%,11.94%,00:09:30,6.99
مرسيدس بطة,"3,903",8.25,20.45%,7.21%,00:10:52,8.68
افانتي نيو,"3,897",7.04,19.48%,8.02%,00:09:44,8.87
مرسيدس قرش ونص,"3,896",7.74,20.51%,7.97%,00:10:06,8.40
مزرعة,"3,882",7.95,24.88%,6.75%,00:11:13,9.21
قروض,"3,857",6.19,19.89%,6.74%,00:10:48,10.97
فورد فوكس,"3,852",4.88,15.91%,13.53%,00:06:55,6.12
هونداي اتوز,"3,848",5.55,15.93%,13.45%,00:08:22,7.19
مسجل,"3,837",5.15,18.14%,12.87%,00:07:42,7.56
هونداي اكسل,"3,835",6.35,16.04%,11.20%,00:09:18,8.05
تريلا,"3,815",2.78,11.14%,28.07%,00:05:26,4.38
سنتافيه,"3,797",4.77,21.28%,12.90%,00:08:37,6.73
تيربو,"3,783",5.44,15.44%,13.98%,00:06:04,4.87
بنغازي,"3,768",11.86,39.09%,2.75%,00:16:02,11.39
من المالك,"3,768",9.93,28.45%,4.74%,00:14:40,11.78
شروكي,"3,764",4.28,16.07%,17.83%,00:05:17,4.62
تايوتا,"3,751",6.09,20.53%,12.69%,00:09:01,6.38
مارسيدس,"3,751",6.19,19.57%,12.36%,00:07:02,6.19
دايو سيلو,"3,716",5.93,16.33%,11.58%,00:09:39,8.05
كنب,"3,711",7.73,23.96%,6.69%,00:09:32,10.04
camry,"3,708",6.22,21.44%,9.19%,00:09:04,6.55
