# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
مرسيدس e200,"3,431",6.96,23.75%,8.81%,00:09:48,6.67
اوبل كورسا,"3,426",4.21,13.57%,16.40%,00:08:14,7.13
بريوس 2008,"3,410",6.05,18.56%,9.51%,00:09:19,7.67
هونداي ازيرا,"3,398",6.58,18.92%,10.20%,00:11:00,7.39
كامري 2010,"3,390",5.22,16.49%,12.25%,00:08:55,6.95
بغداد,"3,376",7.42,30.42%,4.45%,00:09:20,9.68
مساج,"3,373",4.26,20.55%,13.64%,00:05:29,5.93
بحث,"3,345",2.87,24.04%,9.35%,00:13:18,13.27
كامارو,"3,333",2.40,9.90%,33.12%,00:04:12,3.96
سكودا,"3,330",4.58,16.37%,13.94%,00:07:59,7.36
اسوزو,"3,326",6.17,15.90%,11.48%,00:07:43,7.07
4x4,"3,310",6.35,22.15%,10.13%,00:08:18,6.01
شقق للايجار,"3,303",9.94,27.04%,4.71%,00:10:33,9.83
206,"3,291",5.03,15.95%,12.70%,00:08:00,8.01
ديسكوات,"3,282",6.66,20.17%,10.97%,00:08:55,6.74
s2,"3,277",4.07,16.30%,15.16%,00:07:24,7.29
باص h100,"3,275",8.76,24.82%,6.27%,00:11:41,8.94
استوديو,"3,273",6.67,23.13%,7.21%,00:11:05,9.53
شفروليه,"3,263",5.35,15.87%,15.04%,00:06:27,5.46
هونداى,"3,247",9.01,24.24%,7.53%,00:12:23,7.57
ساعات,"3,240",5.77,22.84%,9.83%,00:07:17,7.18
كليك,"3,229",3.89,12.39%,17.56%,00:08:21,8.22
ميني,"3,224",3.49,14.30%,21.26%,00:05:19,5.20
اف جي,"3,213",3.93,17.86%,16.14%,00:06:27,5.19
gti,"3,211",3.79,13.39%,18.74%,00:06:56,5.65
اكس دي,"3,186",6.19,16.79%,11.27%,00:09:45,8.18
bmw ci,"3,183",4.43,17.66%,13.94%,00:05:49,5.45
افانتي 97,"3,171",6.79,17.09%,9.34%,00:09:08,8.29
ارض للبيع,"3,169",8.51,21.80%,5.93%,00:12:57,12.62
هونداي بورتر,"3,163",6.45,21.91%,9.20%,00:10:53,7.76
بروتون,"3,156",4.39,13.53%,15.44%,00:07:26,7.11
غرفة نوم,"3,155",6.52,21.36%,7.51%,00:09:43,10.04
ci,"3,139",3.79,15.00%,17.61%,00:05:40,5.80
سياره,"3,139",7.83,24.21%,6.81%,00:10:19,8.08
اسكيب,"3,133",5.69,21.19%,9.68%,00:08:34,6.74
2013,"3,132",6.36,20.82%,10.09%,00:10:24,8.39
هايلكس,"3,124",3.98,15.11%,18.96%,00:05:23,4.97
جزئي,"3,122",4.18,22.74%,11.89%,00:07:07,6.88
ستيشن,"3,121",4.93,20.70%,12.31%,00:08:07,7.88
مساح,"3,120",3.60,26.44%,8.43%,00:06:53,7.05
كرايزلر,"3,116",3.36,13.16%,23.72%,00:05:21,4.64
دراجة نارية,"3,112",5.38,22.46%,10.23%,00:08:04,6.58
مرسيدس 280,"3,112",5.57,14.94%,13.89%,00:08:38,7.03
فيوجن,"3,101",4.17,17.83%,14.01%,00:07:05,5.96
i30,"3,100",4.07,13.77%,15.42%,00:08:29,8.26
f150,"3,099",3.69,17.75%,17.93%,00:05:59,5.34
مكيف,"3,093",5.07,20.14%,10.94%,00:08:15,8.06
كالوس,"3,083",5.13,15.73%,12.56%,00:09:54,8.51
قط,"3,076",3.92,23.02%,13.19%,00:06:15,6.53
توسكاني,"3,075",3.24,12.72%,21.65%,00:06:36,5.91
اوبل اوميغا,"3,070",4.95,18.40%,12.92%,00:07:50,5.66
كاشيك,"3,057",5.40,20.28%,11.29%,00:11:21,7.18
سورنتو,"3,052",4.94,20.97%,12.50%,00:06:48,5.72
407,"3,049",3.95,12.17%,16.80%,00:08:15,8.77
مصنع,"3,047",6.82,22.65%,8.75%,00:11:04,7.75
كنار,"3,031",5.13,28.74%,8.64%,00:07:33,7.92
كزيوني,"3,027",7.00,20.28%,9.46%,00:12:32,9.29
بي ام وطواط,"3,020",5.16,14.34%,14.42%,00:07:47,6.89
سوني,"3,013",5.01,18.79%,13.33%,00:07:33,5.73
mustang,"3,011",3.42,12.95%,21.29%,00:04:31,4.18
البيادر,"3,011",7.09,21.09%,8.94%,00:08:43,8.73
سايبا,"3,010",6.24,23.06%,8.24%,00:07:30,6.78
كامري 2009,"3,010",6.15,19.57%,9.09%,00:09:43,7.62
سوناتا 2009,"3,001",5.27,16.13%,12.26%,00:09:53,7.66
شاحنه,"2,988",6.64,23.90%,9.73%,00:11:00,7.28
كاميرا,"2,984",5.27,21.35%,11.46%,00:07:17,5.66
روفر,"2,983",5.52,19.04%,11.99%,00:08:27,6.53
مطابخ,"2,982",5.30,20.56%,8.32%,00:10:14,8.68
سورينتو,"2,981",3.30,14.66%,19.65%,00:08:03,5.94
بالتقسيط,"2,974",6.27,22.49%,7.43%,00:11:03,9.07
civic,"2,972",6.05,17.87%,11.49%,00:08:24,6.71
md,"2,971",5.91,19.79%,10.18%,00:08:44,6.94
lumia,"2,962",2.48,15.09%,28.05%,00:04:15,3.61
سيلو,"2,962",4.33,14.04%,15.67%,00:08:37,7.51
camaro,"2,958",2.40,12.98%,30.70%,00:03:44,3.35
قارب,"2,957",5.26,22.39%,10.10%,00:11:04,7.65
صالون,"2,950",5.90,20.41%,10.30%,00:09:44,8.24
اي فون,"2,945",3.92,20.71%,15.25%,00:08:11,6.17
شقة للبيع,"2,938",11.37,28.15%,4.10%,00:13:41,10.33
جيب ليبرتي,"2,936",5.68,20.67%,9.77%,00:11:29,7.98
جرار,"2,934",4.42,22.46%,13.60%,00:09:04,6.08
opel,"2,931",6.51,18.80%,10.04%,00:08:00,6.37
ضاحية الرشيد,"2,927",8.13,21.66%,6.72%,00:10:14,9.26
honda,"2,915",6.61,19.28%,10.24%,00:07:39,6.21
جبل الحسين,"2,907",6.41,20.36%,9.19%,00:08:25,7.67
كرسيدا,"2,891",3.90,13.28%,19.44%,00:06:02,5.50
جارجر,"2,890",6.74,23.11%,8.50%,00:07:26,6.72
كوبيه,"2,886",6.64,16.18%,11.11%,00:06:34,4.75
C200,"2,874",5.14,19.07%,11.95%,00:06:54,5.74
كامري هايبرد,"2,872",6.66,23.33%,8.06%,00:09:45,7.11
كيا كرنفال,"2,851",4.62,16.91%,13.33%,00:09:09,7.56
قطر,"2,850",2.88,17.58%,21.05%,00:04:48,4.40
اوبل فيكترا,"2,847",6.22,23.78%,10.12%,00:08:54,6.94
سرفيس,"2,839",4.55,16.24%,14.83%,00:07:23,7.23
كارولا,"2,838",4.82,13.81%,16.18%,00:06:42,5.58
ملابس,"2,831",5.55,21.12%,9.94%,00:06:57,6.51
lg g2,"2,826",2.84,19.99%,18.94%,00:05:25,4.63
السعودية,"2,806",4.68,19.96%,11.82%,00:06:13,6.00
سائقين,"2,803",5.96,27.19%,5.83%,00:10:01,9.53
بريوس 2009,"2,799",6.36,18.72%,8.28%,00:09:42,7.77
نافطة,"2,793",6.26,23.06%,9.88%,00:11:41,7.45
passat,"2,791",2.70,12.22%,27.14%,00:06:16,4.57
كيا شوما,"2,788",4.60,34.43%,10.95%,00:08:07,6.98
غاز,"2,767",5.11,16.91%,14.81%,00:08:52,8.04
iphone 4s,"2,761",4.21,20.54%,12.40%,00:07:00,6.18
سوق الجمعة,"2,756",8.26,28.77%,5.69%,00:13:32,9.90
خالي قص,"2,747",7.53,17.84%,9.16%,00:10:56,8.63
320,"2,741",3.68,11.20%,22.12%,00:05:49,4.85
دايو سبيرو,"2,738",5.55,16.87%,12.18%,00:09:08,7.56
سوناتا هايبرد,"2,737",4.27,18.23%,14.32%,00:06:32,5.45
دوج رام,"2,729",4.97,16.23%,14.92%,00:06:04,5.42
xperia,"2,724",3.32,20.96%,17.93%,00:06:08,4.65
ابيكا,"2,724",3.31,18.54%,20.73%,00:05:33,5.17
الزهور,"2,723",5.48,16.64%,12.71%,00:07:26,7.41
غولف,"2,722",7.55,17.12%,8.55%,00:10:14,8.42
جراند,"2,721",3.97,15.62%,16.63%,00:07:28,7.40
كيا سيفيا 2,"2,719",6.72,19.49%,8.82%,00:09:18,8.65
توماتيك,"2,715",8.18,29.69%,5.49%,00:14:07,9.93
افانتي 96,"2,714",6.67,16.84%,9.37%,00:08:27,8.30
سيكويا,"2,713",4.27,16.26%,15.08%,00:09:38,7.37
هوندا crv,"2,713",5.36,21.34%,11.60%,00:08:06,6.69
190,"2,710",4.12,11.18%,18.95%,00:06:40,6.34
لنترا,"2,708",4.31,15.77%,18.47%,00:07:05,5.76
استديو,"2,694",6.15,23.20%,7.56%,00:09:51,8.98
كوم,"2,691",4.82,12.52%,16.10%,00:08:27,7.35
غسالة,"2,689",5.08,18.15%,10.84%,00:08:14,8.25
كامري 2012,"2,681",4.45,15.18%,14.46%,00:07:14,5.93
كيا 2,"2,680",7.34,21.34%,7.99%,00:11:12,8.17
كولف,"2,678",6.27,18.48%,9.32%,00:07:41,7.64
سنتافيا,"2,674",4.74,17.39%,12.74%,00:08:17,6.39
subaru,"2,672",4.25,22.72%,12.02%,00:05:21,4.41
525,"2,671",3.69,12.28%,20.94%,00:05:42,5.19
ارنوب,"2,671",5.44,15.54%,12.68%,00:09:19,7.94
مصمم,"2,663",3.72,21.48%,10.77%,00:08:24,7.45
كيا سيفيا 1,"2,657",7.48,20.44%,8.03%,00:09:30,7.97
العاب,"2,646",3.65,23.20%,14.97%,00:05:05,4.88
تاب,"2,645",4.63,19.92%,13.41%,00:08:56,6.87
منزل مستقل,"2,634",10.39,24.91%,4.93%,00:13:32,11.97
تراجيت,"2,628",5.57,18.95%,10.12%,00:12:05,10.72
فيتو,"2,622",5.62,22.23%,9.19%,00:11:53,8.57
كولت,"2,618",3.15,10.28%,24.18%,00:05:22,5.41
note 2,"2,597",3.60,17.98%,15.89%,00:07:01,5.69
مضروب,"2,589",9.77,24.37%,6.51%,00:12:07,9.13
تويوتا يارس,"2,582",3.64,12.90%,19.87%,00:06:22,6.34
dodge,"2,581",5.41,18.44%,12.87%,00:06:31,5.23
سوناتا 2011,"2,581",4.99,15.19%,13.63%,00:07:58,6.62
ازيرا 2013,"2,575",3.30,17.05%,20.63%,00:07:08,5.68
بندقية,"2,574",2.45,11.93%,32.33%,00:04:54,3.97
ساموراي,"2,573",2.51,12.79%,29.59%,00:04:35,4.26
nikon,"2,572",2.98,35.69%,15.07%,00:08:24,4.13
ايفون 5s,"2,572",4.42,24.14%,11.33%,00:07:21,6.58
متشي لانسر,"2,561",6.73,16.32%,10.36%,00:09:40,8.23
530,"2,560",3.56,11.88%,20.74%,00:07:05,5.89
مسائي,"2,551",3.53,21.87%,14.65%,00:06:54,6.56
بوز النمر,"2,548",7.42,17.54%,8.32%,00:09:51,8.62
الجبيهة,"2,544",7.49,23.07%,6.47%,00:11:09,8.98
كرفان,"2,534",4.69,15.79%,12.72%,00:08:37,7.90
تويوتا كارولا,"2,531",6.09,17.07%,12.40%,00:08:10,6.18
هونداي xd,"2,529",6.21,17.60%,10.63%,00:08:45,7.64
هنداي,"2,523",5.84,15.42%,14.27%,00:07:26,6.02
طباخ,"2,519",3.61,24.02%,11.37%,00:08:34,6.96
bmw 525,"2,516",4.57,15.70%,15.57%,00:06:37,5.41
فيراري,"2,511",2.21,9.00%,39.09%,00:03:14,3.10
سماعات,"2,510",5.09,19.36%,14.01%,00:06:13,5.50
Golf,"2,509",6.13,26.31%,8.84%,00:08:35,6.27
خلة الفرجان,"2,502",7.14,27.26%,6.20%,00:13:55,10.03
بيك اب,"2,500",3.97,19.52%,16.52%,00:06:17,5.49
شوما,"2,500",4.26,16.72%,16.20%,00:08:20,7.38
ناعور,"2,499",6.07,19.65%,9.81%,00:09:36,8.24
جلاكسي,"2,495",5.56,21.36%,10.67%,00:08:53,6.44
لانسر 99,"2,495",5.37,13.95%,13.42%,00:08:00,6.93
evo,"2,493",3.63,13.24%,21.69%,00:04:12,4.32
امين مستودع,"2,493",3.24,19.94%,12.42%,00:07:17,7.41
bmw 530,"2,492",3.64,13.44%,20.23%,00:07:18,5.65
note,"2,483",3.86,18.61%,17.44%,00:07:36,5.84
مفخرة,"2,480",4.46,15.20%,13.46%,00:08:52,7.76
4*4,"2,477",6.69,17.88%,10.82%,00:07:51,6.50
تشارجر,"2,460",4.14,12.97%,18.61%,00:04:47,4.31
كاسكو,"2,456",4.54,18.81%,10.56%,00:08:08,8.40
بداعي السفر,"2,447",6.60,21.62%,9.17%,00:10:34,9.72
السلط,"2,442",9.27,27.93%,5.34%,00:11:17,10.93
مرسيدس شبح,"2,440",5.87,15.61%,11.36%,00:08:33,6.98
5s,"2,439",3.37,20.38%,14.57%,00:06:41,6.51
تويوتا هايلوكس,"2,439",4.55,15.09%,16.90%,00:07:08,5.55
بكم نيسان,"2,438",3.94,11.03%,23.03%,00:05:35,4.46
مرسيدس 200,"2,438",5.99,16.37%,12.35%,00:07:37,6.20
مازدا 3,"2,437",5.57,16.70%,12.00%,00:08:35,6.46
ماكسيما,"2,437",3.01,13.25%,25.27%,00:05:21,4.88
X5,"2,434",3.84,15.98%,15.13%,00:06:29,5.77
لبوه,"2,434",6.41,15.86%,11.26%,00:08:53,7.03
اراضي,"2,431",7.55,23.04%,6.59%,00:10:35,9.16
لانسر 2010,"2,431",4.64,13.49%,14.66%,00:07:52,7.00
داو,"2,430",6.55,16.58%,11.68%,00:09:52,8.19
شفروليت,"2,429",4.47,12.93%,18.64%,00:06:06,5.41
ارانب,"2,427",3.68,14.42%,16.47%,00:06:59,7.00
الكرك,"2,426",7.55,24.07%,7.73%,00:09:55,8.70
سنتامو,"2,420",4.97,13.18%,13.96%,00:08:26,7.97
رينج روفر,"2,415",5.73,22.03%,10.99%,00:07:11,5.76
حوض سمك,"2,411",3.87,17.09%,16.07%,00:07:11,7.74
بيجو 207,"2,401",4.44,14.66%,17.09%,00:06:31,5.43
عمارة,"2,394",9.38,27.90%,5.05%,00:12:02,10.57
ديزل,"2,392",4.61,17.85%,14.69%,00:08:42,6.69
بيجو كشف,"2,391",5.45,17.65%,11.50%,00:07:27,6.48
مقرون,"2,374",2.81,12.22%,31.35%,00:04:36,3.98
ميرا,"2,365",2.80,13.87%,25.45%,00:06:36,5.52
النترا 2012,"2,363",4.08,13.67%,18.19%,00:06:34,5.41
قولف 3,"2,363",6.25,17.94%,9.98%,00:11:28,9.89
العقبة,"2,358",7.44,29.26%,6.38%,00:10:53,8.04
كورسا,"2,358",3.28,11.15%,24.48%,00:05:49,5.53
جيلي,"2,355",5.04,14.52%,14.62%,00:06:59,6.45
2000,"2,351",5.41,14.72%,13.90%,00:08:08,7.03
3000,"2,348",6.42,14.91%,12.16%,00:08:14,6.99
سيارات غير مجمركه,"2,348",9.72,40.93%,3.76%,00:10:56,7.42
lg,"2,346",4.24,15.64%,17.09%,00:06:09,5.06
سحاب,"2,346",7.41,24.55%,6.81%,00:11:47,10.86
افالون,"2,345",3.06,14.16%,22.61%,00:05:16,4.79
lexus,"2,342",4.74,16.44%,14.65%,00:06:11,5.16
m3,"2,342",4.21,14.99%,16.48%,00:05:58,5.23
بن عاشور,"2,342",6.99,25.11%,8.31%,00:11:21,8.27
طوارق,"2,339",3.34,13.38%,19.97%,00:05:37,5.59
شاشه,"2,338",5.23,19.50%,13.90%,00:06:49,5.51
كامرى,"2,335",6.71,24.24%,8.56%,00:11:28,7.61
مترجم,"2,334",2.62,20.78%,18.51%,00:05:13,4.95
عصافير,"2,322",4.05,15.81%,15.45%,00:07:00,7.00
مستوبيشي,"2,317",5.78,15.49%,13.57%,00:07:14,6.75
صلاح الدين,"2,315",7.29,25.62%,7.43%,00:13:22,8.96
ابواب,"2,306",5.90,18.65%,9.87%,00:10:52,8.75
اوريون,"2,306",3.41,13.44%,19.61%,00:06:52,5.59
galaxy,"2,303",5.02,22.28%,12.62%,00:08:11,5.49
ماليبو,"2,301",3.64,15.04%,18.04%,00:05:39,5.54
ثلاجه,"2,299",5.88,21.14%,11.84%,00:09:00,7.57
كناري,"2,297",4.08,17.81%,14.30%,00:07:25,6.48
الكويت,"2,292",2.69,18.98%,21.87%,00:04:46,4.35
تويوتا بريوس 2010,"2,291",6.97,22.96%,6.98%,00:11:22,8.32
nexus,"2,286",2.25,16.49%,24.05%,00:05:04,4.05
Jeep,"2,281",7.34,27.05%,7.99%,00:09:36,5.98
كريسيدا,"2,278",2.81,11.19%,29.99%,00:04:28,4.25
E200,"2,277",5.98,21.12%,10.32%,00:07:40,5.91
لاند كروز,"2,262",2.42,11.14%,34.82%,00:03:35,3.38
mazda,"2,259",5.29,18.50%,11.70%,00:08:03,6.37
محل للايجار,"2,259",8.54,27.27%,5.71%,00:12:38,9.62
شقة مفروشة,"2,257",6.78,35.98%,4.90%,00:12:24,8.22
نوت 2,"2,255",4.83,19.25%,11.18%,00:08:22,8.08
افانتي xd,"2,251",5.33,18.61%,12.42%,00:07:49,6.96
nokia,"2,247",4.74,19.58%,14.39%,00:07:07,5.23
عمومي,"2,243",5.22,14.94%,13.70%,00:08:13,7.62
كلك,"2,233",3.89,13.39%,19.12%,00:08:03,7.48
لاسيتي,"2,232",4.25,15.41%,15.93%,00:15:28,8.10
ايفو,"2,228",3.95,13.02%,20.50%,00:05:09,4.78
قطعة ارض,"2,225",7.74,25.53%,6.92%,00:11:55,8.69
مهندس زراعي,"2,220",3.09,26.26%,9.92%,00:05:48,6.17
2014,"2,219",4.64,20.87%,13.77%,00:08:03,6.26
لوتزي,"2,212",4.32,14.33%,15.67%,00:08:12,7.02
المقابلين,"2,210",6.26,23.03%,10.45%,00:07:12,5.20
e30,"2,208",3.17,11.01%,24.81%,00:04:20,4.18
سيتروين,"2,201",3.27,12.90%,24.20%,00:05:53,5.57
لانسر 2004,"2,201",4.66,13.99%,16.11%,00:07:03,6.11
مادبا,"2,200",8.00,35.18%,5.85%,00:09:39,8.22
الكريمية,"2,198",6.10,22.70%,8.36%,00:11:27,8.40
لانسر 2005,"2,187",4.96,13.44%,15.56%,00:07:01,6.58
فورد موستنج,"2,186",3.92,14.04%,18.47%,00:06:28,5.35
مرسيدس c,"2,176",5.19,24.49%,11.52%,00:07:33,5.54
لاندكروز,"2,173",3.58,12.15%,21.12%,00:05:28,5.03
لاندروفر,"2,168",2.72,15.64%,28.72%,00:05:34,4.25
سفك,"2,163",4.86,14.79%,15.98%,00:06:10,5.44
اوبل كدت,"2,162",4.54,15.12%,17.68%,00:06:15,5.13
سيات ابيزا,"2,160",3.10,11.99%,25.17%,00:05:04,4.87
دوام جزئي,"2,155",4.72,24.92%,8.97%,00:08:05,8.49
سكس,"2,151",1.54,20.92%,41.35%,00:02:00,2.01
مشروع الهضبة,"2,146",7.34,25.82%,6.36%,00:15:03,10.11
موطو بحر,"2,144",4.76,22.43%,10.04%,00:09:50,7.78
prius,"2,142",6.02,24.00%,7.68%,00:09:13,7.27
سنتافى,"2,142",6.27,20.68%,9.68%,00:11:04,8.91
lancer,"2,127",6.21,17.82%,10.22%,00:08:32,7.49
سوزوكي فيتارا,"2,125",4.78,15.20%,14.56%,00:07:04,6.32
c3,"2,124",3.14,12.81%,23.42%,00:06:16,5.68
كلاشن,"2,123",1.55,8.05%,56.25%,00:03:28,3.38
تلاع العلي,"2,122",6.66,16.92%,9.50%,00:08:40,7.88
باترول,"2,120",2.48,13.25%,28.59%,00:03:32,3.81
iphone 4,"2,118",4.48,22.85%,11.44%,00:06:40,5.53
تويوتا لاندكروزر,"2,116",5.43,17.25%,13.16%,00:09:19,6.60
داتسون,"2,113",3.58,10.22%,23.99%,00:05:06,4.72
ماعز,"2,112",2.55,12.03%,25.77%,00:06:18,6.21
سمارت,"2,109",3.52,14.32%,17.13%,00:07:20,7.05
موبايل,"2,108",4.45,20.59%,13.04%,00:08:46,6.64
فابيا,"2,106",2.55,14.96%,25.48%,00:05:53,5.06
كيا لوتزي,"2,105",5.56,15.34%,11.27%,00:09:22,7.56
2012,"2,100",6.33,16.67%,11.73%,00:09:44,8.00
رام,"2,098",4.13,14.73%,17.63%,00:06:18,5.17
فورد f150,"2,097",4.97,17.12%,13.85%,00:08:40,6.10
هواتف,"2,097",2.88,15.31%,23.82%,00:04:23,4.90
محامي,"2,095",3.82,25.82%,9.49%,00:06:13,6.29
فتاة,"2,090",7.66,15.55%,7.54%,00:09:39,12.16
سبور,"2,087",6.04,14.04%,12.52%,00:08:18,6.94
i phone,"2,086",3.71,19.46%,16.46%,00:06:27,5.47
للضمان,"2,084",7.39,24.23%,7.63%,00:09:46,8.49
باص فان,"2,083",6.70,23.96%,8.63%,00:09:30,7.88
جنسس,"2,081",3.03,10.91%,26.22%,00:07:07,5.61
هوندا هايبرد,"2,079",5.83,19.29%,10.80%,00:08:58,6.74
2010,"2,078",5.99,15.78%,12.09%,00:09:37,7.95
ارمادا,"2,078",2.76,15.59%,22.63%,00:06:49,5.22
هونداي hd,"2,078",6.09,19.06%,10.95%,00:08:42,6.74
ضاحية الامير حسن,"2,077",6.63,21.52%,9.03%,00:08:53,8.55
تكسي للبيع,"2,075",6.31,25.25%,7.45%,00:08:06,7.88
للايجار,"2,075",6.94,21.73%,7.29%,00:08:28,8.88
مزرعه,"2,075",8.83,19.57%,6.76%,00:10:46,9.79
فلت,"2,065",3.41,13.37%,21.50%,00:06:28,6.23
اعفاء,"2,062",4.87,23.96%,11.72%,00:07:30,6.33
مازدا 323,"2,059",4.93,15.93%,14.83%,00:08:41,7.09
بكب متسوبيشي,"2,053",5.40,14.27%,14.84%,00:06:54,6.03
مرسيدس اقساط,"2,052",6.72,14.33%,12.02%,00:07:14,6.49
كيا سورينتو,"2,049",4.26,14.40%,15.30%,00:09:32,7.66
canon,"2,047",3.89,23.40%,15.58%,00:06:40,4.30
عقربان,"2,047",4.44,20.08%,11.67%,00:10:38,7.33
اوكتافيا,"2,044",2.20,13.75%,30.81%,00:04:57,4.15
محل للبيع,"2,041",8.69,23.66%,6.55%,00:11:45,9.57
كوبي,"2,040",5.71,14.46%,12.19%,00:09:22,7.58
كيا فرسان,"2,040",4.57,15.25%,15.84%,00:09:34,7.92
كيا بونقو,"2,031",3.99,16.15%,18.79%,00:08:07,6.11
واى ماكس,"2,030",6.67,34.14%,4.80%,00:12:52,8.65
z1,"2,026",2.68,18.81%,19.56%,00:06:50,5.89
دايو لمنز,"2,024",5.52,13.59%,12.56%,00:10:21,8.90
honda civic,"2,023",6.56,21.50%,9.41%,00:08:24,6.02
ديماكس,"2,020",4.06,14.06%,19.36%,00:05:25,5.05
سنجل,"2,020",3.68,12.67%,22.30%,00:05:08,4.67
اوميغا,"2,019",4.25,14.86%,16.98%,00:06:26,5.74
قولف 4,"2,018",5.57,15.41%,11.68%,00:10:10,8.51
كاشير,"2,017",4.41,19.78%,11.47%,00:06:28,8.46
سمند,"2,012",5.59,20.83%,10.58%,00:06:31,6.59
عبدون,"2,009",8.38,25.29%,6.68%,00:09:32,8.39
x6,"2,007",2.47,11.11%,31.60%,00:04:15,3.94
مولد كهرباء,"2,005",6.67,25.09%,6.35%,00:13:08,9.29
منزل للبيع,"1,997",8.85,21.73%,6.63%,00:12:43,9.83
تيبرون,"1,992",3.17,12.90%,22.39%,00:05:32,5.11
قطع غيار,"1,991",4.65,19.04%,15.31%,00:07:48,5.75
سول,"1,986",4.22,15.51%,14.81%,00:06:23,5.51
فورد اكسبلورر,"1,986",4.07,18.33%,16.10%,00:06:20,5.22
nexus 5,"1,985",2.21,17.78%,19.07%,00:04:48,4.33
فني,"1,985",4.81,27.76%,10.14%,00:07:37,7.68
مكيفات,"1,985",5.21,21.41%,10.15%,00:08:08,7.71
سيفيا 2,"1,984",6.04,18.09%,10.74%,00:09:37,8.34
كومارو,"1,984",2.76,12.30%,28.89%,00:03:44,3.54
اكس بوكس,"1,983",4.65,19.92%,11.36%,00:08:20,6.90
ابو علندا,"1,977",6.41,16.49%,10.83%,00:08:32,6.57
تجاري,"1,977",9.85,33.79%,3.95%,00:11:57,10.11
النجيلة,"1,976",7.30,24.54%,6.55%,00:12:48,10.10
ايفون 4,"1,976",4.84,19.59%,11.69%,00:07:19,6.12
مولدات,"1,971",7.70,29.02%,4.49%,00:14:05,10.03
نيبرا,"1,970",5.03,17.06%,12.45%,00:11:18,8.87
sonata,"1,969",5.16,17.93%,11.47%,00:08:09,6.49
باص ستاركس,"1,969",7.33,22.24%,8.64%,00:10:54,8.14
اكسنت 2012,"1,966",4.46,14.14%,15.58%,00:06:47,6.07
نيسان باترول,"1,963",2.64,16.40%,25.19%,00:04:29,4.06
سوناتا 2010,"1,960",4.79,14.18%,15.31%,00:07:31,6.29
رينو كليو,"1,958",4.66,13.79%,15.75%,00:08:02,7.09
باص اقساط,"1,953",6.14,20.07%,10.97%,00:08:44,6.62
قولف 5,"1,952",4.30,12.19%,16.70%,00:08:40,7.36
رابش,"1,951",4.28,14.92%,17.53%,00:08:36,6.43
بسكليت,"1,950",4.21,17.90%,14.18%,00:06:30,6.36
e36,"1,944",3.15,15.84%,22.79%,00:04:18,3.62
بكم تويوتا,"1,938",4.38,14.19%,18.91%,00:05:46,4.35
جرار زراعي,"1,936",4.31,20.35%,13.43%,00:09:40,6.47
وادي الربيع,"1,934",6.31,25.80%,7.69%,00:13:02,8.81
كامري 2011,"1,933",5.19,15.93%,11.59%,00:07:57,6.69
فرس,"1,930",3.08,12.07%,25.53%,00:05:41,4.79
رسيفر,"1,924",5.10,22.51%,9.53%,00:08:45,6.93
لانسر 2011,"1,923",4.96,15.34%,13.17%,00:08:10,6.96
هكتار,"1,921",8.69,27.23%,6.23%,00:14:59,10.41
ضاحية الياسمين,"1,919",7.54,21.16%,7.53%,00:09:57,8.83
كيا سيدونا,"1,918",4.56,20.39%,12.68%,00:11:13,7.09
حفار,"1,914",4.99,19.49%,13.57%,00:09:36,6.99
قصر بن غشير,"1,914",6.88,27.59%,6.87%,00:12:39,9.28
ستوديو,"1,912",6.25,20.50%,8.55%,00:09:47,9.08
انفينيتي,"1,911",2.86,13.29%,26.50%,00:05:32,4.96
شقة للايجار,"1,907",8.49,24.23%,6.03%,00:11:59,10.16
ford escape,"1,906",6.17,24.45%,7.72%,00:08:58,6.65
مستودع,"1,905",3.92,24.09%,12.83%,00:06:38,7.08
مشروع,"1,895",6.28,17.89%,9.70%,00:09:39,8.22
عرجان,"1,893",6.34,17.64%,9.90%,00:08:59,8.75
جاكوار,"1,889",3.12,11.54%,24.63%,00:05:06,4.74
نيسان مكسيما,"1,888",5.01,15.41%,13.56%,00:07:53,6.87
ماركا الشمالية,"1,883",7.07,23.37%,7.45%,00:10:18,10.12
s350,"1,881",3.40,12.81%,22.80%,00:04:52,4.56
كانتر,"1,879",2.72,12.72%,28.92%,00:05:11,4.78
ممول,"1,877",5.22,15.66%,11.26%,00:08:46,8.37
كيا سيراتو 2013,"1,876",4.78,15.72%,13.98%,00:08:27,6.92
فولكس,"1,871",4.10,14.70%,18.64%,00:06:24,4.98
كيا سيراتو 2012,"1,865",5.34,15.28%,13.30%,00:08:43,6.85
جريبا,"1,861",5.43,18.97%,9.88%,00:09:24,8.85
أقساط,"1,858",9.51,27.40%,5.23%,00:11:55,10.32
range rover,"1,850",5.14,15.78%,13.14%,00:06:41,5.87
جيتز,"1,850",3.14,10.81%,23.09%,00:05:33,5.66
ﻻنسر,"1,849",5.41,19.58%,12.73%,00:06:34,6.07
هونداي كليك,"1,843",4.97,17.74%,12.08%,00:08:51,7.35
صيدلية,"1,834",6.37,29.44%,6.85%,00:09:31,7.56
مدير,"1,833",3.56,35.73%,11.12%,00:05:46,4.57
تيوتا كرولا,"1,831",3.14,10.43%,28.50%,00:05:18,5.02
